id,title,content,sourcePage
page-arrival-lake-wales,Arrival & Check-in,"## Getting there
> Travel directions for Winter Solstice 2026 are coming soon. Directions, drop-off points and shuttle information will be published here.
## Check-in
1. Bring your ticket confirmation and a photo ID to Registration.
2. Pick up your wristband and your lodging assignment.
3. Drop your bags and settle in before the opening program.
> Arrive early, settle in slowly, and let the week unfold.
## Weather
> Weather guidance for Winter Solstice 2026 is coming soon. Bring layers for Sadhana at dawn.",
code-of-conduct,Code of Conduct,"Code of Conduct

— A Drug/Alcohol/Smoke-Free Camp: Solstice is a drug-free, alcohol-free, and smoke-free camp. Keeping your consciousness clear and uplifted enhances the transformational experience of Solstice and this is an opportunity to help your body cleanse.

— We serve a vegetarian diet; there are no meat or fish products allowed at camp.

— While we share in the love for our animal friends, please do not bring your pets. We cannot accommodate them on site unless they are service dogs. As the owner of a service dog, you are responsible for your dog at all times. This includes keeping your dog leashed, cleaning up after them, and taking full responsibility for any injury your dog may cause to any person or other service dog on site. You must keep your dog with you at all times, never leaving them leashed, unattended, or in a car, even with the windows open. Your vigilance ensures the safety and comfort of everyone around, as well as the well-being of your service dog.

— We ask that you “pack it in and pack it out” (if you brought it in, please take it with you when you leave). However, compost, recycle and landfill containers are provided to serve you. Please leave your environment cleaner than when you arrived.

— Please turn off cell phones and all other personal electronics before participating in Morning Sadhana, Workshops and White Tantric Yoga®. Photography and filming are not permitted during White Tantric Yoga®. Flash photography is not permitted during Morning Sadhana.

— No fires of any kind.

— Criminal activity will not be tolerated. If you are suspected of criminal activity, you will be investigated by 3HO staff and local law enforcement. If you are found guilty of criminal activity, you may be prosecuted to the full extent of the law and restricted from attending future 3HO events.

— All-Camp quiet hours are 10pm – 3:15am except in designated areas and with 3HO Administration approval. One of our top priorities is providing the opportunity for everyone to experience group Sadhana every morning in the Amrit Vela (the ambrosial hours between 3–7 am), so late night activities are limited. All music, evening activities, and the bazaar end by 9:30 pm, and lights out in the camp is at 10 pm.

— No firearms or weapons are allowed on the premises, including Conceal Carry of handguns. Kirpans are allowed.

— Modest clothing choices are encouraged to support a meditative practice. Revealing or transparent clothing are discouraged as this can be distracting for people in a meditative process. 3HO reserves the right to remove any participant not adhering to the camp Code of Conduct.

— Please respect others’ boundaries and seek consent when looking to connect with others. This is an event for healing for many, and what each person needs for their healing is different. Asking for permission before seeking out a hug, emotional sharing or other intimate interaction shows your respect for the other person and makes the interaction that much more meaningful. Breaching of another’s personal boundaries is not acceptable at this event.

— Any conduct deemed inappropriate by 3HO may be grounds for dismissal from camp.",
page-12,"Showers, Toilets, Meals & Scents","## Lodging, Showers and Toilets
> Details for Winter Solstice 2026 are coming soon. Lodging areas, showers and toilets at the venue will be described here.
Please conserve water wherever you can, and leave shared bathrooms clean for the next person.
## Meals
All meals are served in the dining area. Any schedule changes are announced during breakfast and dinner. See the Menus tab in this app for what is being served each day.
## Please Refrain from Using Scented Products
Many people are sensitive to strong scents. Please refrain from wearing or using strong scented oils and perfumes. It also helps keep the bugs away.",
page-13,"Phones, Gadgets & Medical Conditions","## Take a Break from Your Cell Phones & Gadgets
Solstice is a time for you and your personal journey. We ask that you reduce cell phone usage as much as possible. If you must use your cell phone, please be sensitive to those around you. Please silence your cell phones during Sadhana, workshops, and White Tantric Yoga®.
## Medical Conditions
If you have any special health needs or are taking any medications, please notify the First Aid staff when you arrive. If you are on medication, please do not discontinue use during Solstice unless specifically advised by your doctor. While Kundalini Yoga and White Tantric Yoga® are powerful healing practices, they should not be used as a substitute for regular medical care.
## Hand Washing
Please wash your hands before every meal and each time after you use the restroom.",
page-14,"First Aid, Photography & Video","## First Aid
A First Aid station is available on site throughout the event. Basic supplies such as band-aids and aspirin are available there, and trained staff will assess the level of care needed in a medical emergency.
> Details for Winter Solstice 2026 are coming soon. The First Aid location, its hours and the nearest hospital will be published here.
## Photography and Videography at Solstice
3HO arranges for photography and video recording during camp activities and workshops. The Solstice waiver you signed allows 3HO to use these videos and photos in our promotional efforts. If you do not wish to be visible in photographs or videos, please do your best to stay out of camera range when you see someone filming.
## Personal Photography and Video
You are welcome to take personal photos and video at Solstice, with the following rules:
- No flash photography during Sadhana or any classes.
- The teachings of Kundalini Yoga as taught by Yogi Bhajan® and White Tantric Yoga® are protected by copyright law.
- Absolutely no photography or video recording is permitted during White Tantric Yoga®, including the Tantric exercises, warm-ups, breaks, and the blind walk.
- Please request permission from any participants you are photographing, filming, or recording.
- For any professional use, permission must be obtained from 3HO Foundation International.",
page-15,"Bazaar, Lost & Found, Leaving Camp","## Bazaar
Enjoy a wide variety of products and healing treatments from vendors in our community.
> Bazaar hours for Winter Solstice 2026 are coming soon. The Bazaar is closed during White Tantric Yoga®.
## Lost and Found
Lost items are collected on site; items deemed valuables are kept at Administration. Please ask any staff member if you have lost or found something.
## Leaving Camp
> Details for Winter Solstice 2026 are coming soon. Departure day and time, luggage help and airport shuttle information will be published here.
Because many people leave at the same time, the process of exiting may take longer than expected. Please plan ahead for support if you have accessibility needs.",
page-16,Security at Solstice,"## Security at Solstice
We strive to provide a safe and secure environment at Solstice, but we cannot be responsible for valuables and personal belongings. We advise that you do not leave valuables in your tent or room; keep them with you at all times. 3HO is not responsible for the loss or theft of any personal items during your stay.",
page-17,Emergency Response,"## In Case of Emergency
3HO prepares an Emergency Response Plan for every Solstice in coordination with local emergency services. In the event of an emergency, follow the instructions of Camp Staff and move calmly to the assembly area. All staff, service area managers, and service exchange participants are briefed on their roles in the event of an evacuation or shelter-in-place order.
> Details for Winter Solstice 2026 are coming soon. The alarm signal and the assembly area will be published here before the event.",
page-21,Youth Camp,"Youth Camp
Solstice Youth Camp Co-op (SYCC) is a powerful opportu
nity for children to feed both their spirit and their sense
of fun, while learning ancient yogic teachings that build
strong bodies and strong character. Twice a year at each
Solstice, people from all over the world gather together to
purify and uplift their consciousness in community. Give
your child the opportunity to dwell in that frequency, be
free, learn and connect with their peers. Solstice Youth
Camp provides an opportunity for both parents and chil
dren to connect with their spirit. It is a Camp Co-Operati
ve, which means that the parents help run the camp. All
parents practice their Karma Yoga in SYCC, helping out in
various ways.",
page-49,Wake-Up Call & Hydrotherapy,"## Wake-Up Call
Each morning, well before dawn, minstrels will wake you up with live music as they make their rounds through the lodging areas. You will be roused from sleep by loving voices and beautiful music to encourage you to attend Morning Sadhana.
## Hydrotherapy
A cold water shower is a part of the yogic lifestyle you can experience at Solstice. Hydrotherapy builds resistance to colds, flu, and hay fever, strengthens nerves and makes your skin glow. It is renowned for its positive effects because it oxygenates organs, flushes capillaries, and releases toxins from tissues.
Directions: To take a cold shower, first massage yourself with almond oil to neutralize any toxins. Under the cold water, massage your body vigorously; step out of the water and continue to massage. Repeat this process three times or until the water no longer feels cold. Hydrotherapy is not recommended for pregnant or menstruating women or people who have high blood pressure. Please check with your doctor if you have questions or concerns regarding this.",
