id,date,meal,title,items,notes,sort
menu-2026-12-15-dinner,2026-12-15,dinner,,Lentil soup|Fresh bread|Green salad|Yogi Tea,Vegan · gluten-free bread on request,
menu-2026-12-16-breakfast,2026-12-16,breakfast,Solstice morning,Oatmeal with dates and almonds|Fresh fruit|Yogi Tea,Vegan,
menu-2026-12-16-lunch,2026-12-16,lunch,,Kitcheree with mung beans|Steamed winter greens|Yogurt|Golden milk,Vegan option without yogurt,
menu-2026-12-16-dinner,2026-12-16,dinner,,Roasted root vegetables|Quinoa pilaf|Tahini sauce,Vegan · gluten-free,
menu-2026-12-17-breakfast,2026-12-17,breakfast,,Warm rice porridge|Bananas|Yogi Tea,Vegan,
menu-2026-12-17-lunch,2026-12-17,lunch,Light before the kriyas,Vegetable broth|Cucumber salad|Flatbread,Light meal for the White Tantric Yoga® day,
menu-2026-12-17-dinner,2026-12-17,dinner,,Chickpea stew|Basmati rice|Steamed carrots,Vegan · gluten-free,
menu-2026-12-18-breakfast,2026-12-18,breakfast,,Oatmeal with apples and cinnamon|Yogi Tea,Vegan,
menu-2026-12-18-lunch,2026-12-18,lunch,Light before the kriyas,Miso vegetable soup|Brown rice|Pickled vegetables,Vegan · gluten-free,
menu-2026-12-18-dinner,2026-12-18,dinner,,Vegetable lasagna|Garden salad|Herbal tea,Gluten-free portion available,
menu-2026-12-19-breakfast,2026-12-19,breakfast,,Millet porridge|Dried fruit and nuts|Yogi Tea,Vegan · gluten-free,
menu-2026-12-19-lunch,2026-12-19,lunch,,Dal with ginger|Rice|Sauteed spinach|Mango chutney,Vegan,
menu-2026-12-19-dinner,2026-12-19,dinner,Solstice-eve meal,Squash curry|Coconut rice|Cabbage slaw|Golden milk,Vegan · prepared by community seva,
menu-2026-12-20-breakfast,2026-12-20,breakfast,,Buckwheat pancakes|Maple syrup|Fresh fruit|Yogi Tea,Vegan · gluten-free,
menu-2026-12-20-lunch,2026-12-20,lunch,Langar,Dal|Rice|Roti|Kheer,Served after Gurdwara Sahib · vegan except kheer,
menu-2026-12-20-dinner,2026-12-20,dinner,Before the longest night,Vegetable stew|Corn bread|Ginger tea,Light and warming · vegan,
menu-2026-12-21-breakfast,2026-12-21,breakfast,First light,Warm almond milk with cardamom|Fruit bowl|Yogi Tea,Vegan · gluten-free,
menu-2026-12-21-lunch,2026-12-21,lunch,,Kitcheree|Steamed greens|Yogurt,Vegan option available,
menu-2026-12-21-dinner,2026-12-21,dinner,Farewell meal,Vegetable paella|Green salad|Herbal tea,Vegan · gluten-free,
