id,name,description,benefits,ingredients,calories,photo,recipeUrl
yogi-tea,Yogi Tea,The spiced tea poured at every Solstice: black tea simmered slowly with whole spices and finished with the milk of your choice. Warming and grounding — the first cup after Sadhana.,"Warms the body and settles digestion after early-morning practice|Cinnamon, ginger and black pepper are traditionally used to support circulation|Cardamom and cloves soothe the stomach and freshen the breath",Water|Cinnamon sticks|Green cardamom pods|Whole cloves|Black peppercorns|Fresh ginger|Black tea|Oat or dairy milk,60,http://localhost:3999/photos/dish-yogi-tea.svg,https://example.com/recipes/yogi-tea
kitcheree-with-mung-beans,Kitcheree with mung beans,"Mung beans and basmati rice cooked into a soft, savory porridge with ghee or oil, ginger, turmeric and greens. The classic cleansing meal of the yogic kitchen — complete protein that is easy on the stomach.",Easy to digest: a mono-diet staple during cleansing days|Mung beans and rice together form a complete protein|Turmeric and ginger are traditionally used to calm inflammation and support digestion,Whole mung beans|Basmati rice|Onion|Fresh ginger|Garlic|Turmeric|Cumin|Coriander|Seasonal greens|Ghee or coconut oil|Sea salt,320,http://localhost:3999/photos/dish-kitcheree.svg,https://example.com/recipes/kitcheree
golden-milk,Golden milk,"Turmeric paste warmed in oat or almond milk with a little almond oil and honey — the evening drink of the Kundalini Yoga tradition, taken to look after the joints and the spine.","Turmeric is traditionally used for supple joints and a calm inflammatory response|Warm milk with almond oil before bed eases the body toward sleep|A gentle, lightly sweet way to end the day",Turmeric root or paste|Oat or almond milk|Cold-pressed almond oil|Honey or maple syrup|Black pepper,120,http://localhost:3999/photos/dish-golden-milk.svg,https://example.com/recipes/golden-milk
lentil-soup,Lentil soup,"Red lentils simmered with carrots, celery and cumin until they fall apart, finished with lemon and parsley. The arrival-night soup: simple, filling and ready whenever your bus comes in.",High in plant protein and fiber — sustaining after a day of travel|Iron and folate from the lentils|Light enough for a late evening,Red lentils|Carrot|Celery|Onion|Garlic|Cumin|Bay leaf|Lemon|Parsley|Olive oil|Sea salt,210,,
dal-with-ginger,Dal with ginger,"Yellow split peas cooked down with a generous amount of fresh ginger, turmeric and a tempering of cumin seeds in ghee.",Ginger warms the digestion on cool December days|Plant protein that pairs with rice into a complete meal|Naturally gluten-free,Yellow split peas|Fresh ginger|Turmeric|Cumin seeds|Tomato|Ghee or oil|Cilantro|Sea salt,260,,
dal,Dal,"Langar dal: black lentils and chickpeas slow-cooked overnight the way they are served in the Gurdwara kitchen — creamy, mildly spiced and shared by everyone regardless of who they are.","A complete, sustaining meal when eaten with roti|Slow cooking makes the lentils gentle on the stomach|Prepared as seva and offered to all",Black lentils (urad)|Chickpeas|Onion|Tomato|Ginger|Garlic|Garam masala|Ghee|Sea salt,240,,
oatmeal-with-dates-and-almonds,Oatmeal with dates and almonds,"Rolled oats cooked in oat milk with chopped dates, toasted almonds and a pinch of cinnamon.",Slow-release energy through a long morning|Beta-glucan fiber from the oats|Dates sweeten the bowl without added sugar,Rolled oats|Oat milk|Medjool dates|Almonds|Cinnamon|Sea salt,340,,https://example.com/recipes/solstice-oatmeal
warm-rice-porridge,Warm rice porridge,"Short-grain rice simmered until creamy with a little cardamom — a quiet, easy breakfast for a White Tantric Yoga® morning.",Very easy to digest before a long day of sitting|Gentle and warming|Naturally gluten-free,Short-grain rice|Water|Oat milk|Cardamom|Pinch of salt,220,,
millet-porridge,Millet porridge,Whole millet cooked soft in almond milk and finished with a swirl of tahini.,Millet is alkalizing and naturally gluten-free|Magnesium and B vitamins|Keeps you full through the morning kriyas,Millet|Almond milk|Tahini|Cinnamon|Sea salt,240,,
miso-vegetable-soup,Miso vegetable soup,"A light broth with white miso, wakame, tofu and thinly sliced winter vegetables. Served on the second White Tantric Yoga® day so the afternoon sits easy.",Fermented miso supports the gut|Light and hydrating between long meditations|Mineral-rich sea vegetables,White miso|Wakame|Tofu|Daikon|Carrot|Scallion|Ginger,90,,
